hjd,mag,mag_unc
4290.88815,10.835,0.037
4296.87265,10.955,0.033
4301.88262,10.84,0.031
4304.81254,10.853,0.031
4306.86101,10.968,0.023
4308.83485,10.854,0.041
4310.87785,11.176,0.027
4332.77279,10.889,0.032
4334.75592,10.951,0.04
4338.73856,10.874,0.043
4350.73874,10.881,0.032
4353.73114,10.823,0.026
4355.77648,11.115,0.025
4358.72095,11.135,0.03
4361.71475,10.906,0.035
4363.73192,10.894,0.027
4365.73395,10.906,0.026
4368.67972,10.868,0.03
4372.7255,10.928,0.04
4375.72768,10.831,0.031
4377.79139,11.229,0.036
4380.66119,10.956,0.034
4382.70206,10.843,0.025
4384.72453,10.946,0.03
4386.71049,10.9,0.025
4388.68341,10.87,0.024
4392.64744,10.851,0.026
4399.78419,10.982,0.041
4403.59777,10.94,0.027
4407.62594,10.936,0.035
4409.6432,10.846,0.025
4420.76029,11.063,0.046
4428.57024,10.972,0.045
4430.62932,10.839,0.032
4432.681,10.838,0.025
4435.58778,10.835,0.031
4437.68196,10.933,0.033
4440.56896,10.959,0.03
4443.58937,10.997,0.029
4453.55326,11.088,0.03
4455.63383,10.885,0.035
4458.60626,11.039,0.036
4461.5956,11.258,0.028
4463.64668,10.797,0.029
4466.60051,10.835,0.035
4473.6147,10.861,0.031
4477.53461,10.833,0.033
4480.5458,10.81,0.034
4489.55739,11.104,0.033
4492.55319,10.913,0.032
4499.53641,10.846,0.035
4502.53472,10.81,0.031
4507.51906,10.889,0.044
4623.9287,10.842,0.029
4631.89803,10.857,0.027
4640.90622,11.012,0.032
4645.88199,10.859,0.033
4649.87352,10.877,0.043
4652.90671,10.827,0.025
4656.8644,10.851,0.027
4661.9158,10.964,0.032
4664.86975,10.966,0.028
4669.86789,10.836,0.039
4672.84491,10.872,0.025
4675.88226,11.001,0.025
4679.80828,10.909,0.029
4682.81895,11.15,0.031
4685.80599,11.303,0.034
4691.78829,10.922,0.031
4694.78476,10.815,0.029
4698.83285,10.811,0.031
4700.83842,10.919,0.028
4703.76839,10.966,0.025
4708.78641,10.831,0.025
4720.74065,10.983,0.033
4722.76788,10.831,0.029
4726.76012,10.781,0.034
4729.7445,10.821,0.028
4732.83596,11.304,0.036
4736.69998,10.89,0.031
4740.66777,10.867,0.031
4747.69809,10.824,0.037
4750.6456,10.934,0.043
4753.68507,10.88,0.03
4755.74564,10.892,0.03
4758.64688,10.967,0.033
4760.71305,11.136,0.027
4763.64434,10.924,0.026
4765.70198,10.832,0.026
4767.78459,10.965,0.031
4770.64272,10.921,0.029
4772.72075,10.854,0.028
4775.5681,10.902,0.032
4777.61819,10.986,0.028
4782.59862,10.856,0.04
4784.66387,11.088,0.037
4787.64267,10.956,0.037
4792.65158,10.8,0.036
4795.65295,10.922,0.048
4798.63035,10.962,0.042
4803.56819,10.852,0.032
4805.65411,11.069,0.033
4808.56666,11.308,0.043
4813.59751,10.923,0.044
4815.66779,10.895,0.037
4819.57398,11.261,0.04
4821.62082,10.888,0.051
