KIC_ID,KOI_ID,Planet_Radius,Planet_Radius_err_upper,Planet_Radius_err_lower,Incident_Flux,Incident_Flux_err_upper,Incident_Flux_err_lower,AO_Binary_Flag
9022166,K02175.01,3.42714561608482,0.15722258848585,0.209684465284101,107.579637118369,4.30069764132089,4.12019974960482,0
9022166,K02175.02,4.50969581883183,0.661793585038724,0.518218624497578,28.6812647790518,1.14658731976989,1.09846568668915,0
10965588,K02177.01,2.3611604944991,0.535762822353053,0.195752371771198,4.54726784979231,0.272280508050386,0.254767126555738,0
7286911,K02180.01,2.06129091180604,0.116994994249941,0.35007286184497,55.7580096608779,3.31042118044395,3.10802822432005,0
8591173,K02181.01,1.39191547772191,0.105104882232563,0.184929789270491,30.7150432586057,1.0806912445361,1.04271115991759,0
6962109,K02182.01,2.19036722432845,0.197474961306587,0.183429094454574,29.8636886103915,2.47728898778268,2.26243737531149,0
5706595,K02183.01,2.25862740162759,0.46876768177377,0.214304961057051,54.1969149938873,4.21189766149896,3.86669070463844,0
5706595,K02183.02,1.49832025911683,0.109453445119059,0.0967977279957016,361.513705873,28.0949336791226,25.7922740852719,0
12885212,K02184.02,2.04741654398376,0.0995787231958914,0.239240083484967,1.43162243292295,0.0613000394652728,0.0583673542868418,0
8611781,K02185.01,3.38780939116398,0.656828358125651,0.293884584277629,25.759679900282,1.21160778624873,1.15076300467149,0
3097926,K02186.01,3.7129354951367,0.360141447337957,0.884207884624755,33.6243638781069,2.38798962449601,2.2109755416698,0
10518424,K02188.02,0.928970843502241,0.110281446620619,0.122567844620365,186.872919663758,16.3961073681986,14.8745567781089,0
5730445,K02189.01,3.86436976466564,0.408915759732808,0.992463971947298,7.90708556891481,0.567879465146643,0.525820979342603,0
5601258,K02191.01,1.24386266824332,0.0669171442063424,0.0675719183462059,14.7421441792587,1.5029639044476,1.37767400259721,0
8282651,K02193.01,1.43621747750156,0.126488442489136,0.109245489492622,150.055261789018,7.41753567380678,7.02654472491359,0
8282651,K02193.02,1.23718135567165,0.462815309903587,0.0902954877649284,70.5700827960609,3.48842220127725,3.30454152087366,0
3548044,K02194.01,2.36634391877517,0.49401187127276,0.214186311970731,41.737004435754,1.62558452765876,1.56304443782543,0
3548044,K02194.02,2.30686342637633,0.120073951872022,0.128929493728751,17.0630611894401,0.66457688181108,0.639009033949312,0
3548044,K02194.03,1.8511728775514,0.120914407449466,0.157079159450273,1.39250913581607,0.0542358354752199,0.0521492543315795,0
11401767,K02195.01,2.81148045581561,0.179637203154402,0.565032031301858,91.8808618765922,7.17532472009637,6.56055749515341,0
11401767,K02195.02,2.40522893043779,0.155551115822451,0.448372603523304,53.4713738209985,4.1757822310227,3.81800970444393,0
11401767,K02195.03,1.95119139981949,0.1192438573016,0.479657536249166,384.626998584563,30.0369800042481,27.4634726630179,0
11075429,K02198.01,2.64356641116279,0.203331361937865,0.508184836133823,197.846003459938,9.30524124947403,8.81849005139345,0
11705004,K02199.01,1.82767466293292,0.176364730236583,0.170827695073594,57.896703453112,5.41662845547976,4.88707785221395,0
